coat_of_arms,coat_of_arms_url
Могила,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/POL_COA_Mogi%C5%82a.svg/960px-POL_COA_Mogi%C5%82a.svg.png
Сас,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/POL_COA_Sas_I.svg/960px-POL_COA_Sas_I.svg.png
