person_id,funeral_id,linked_death_id,is_old_style,f_time,f_day,f_month,f_year,date_sort,church_id,cemetery_id,f_place_address,place_id
96,,DTH-96,1,,16,9,1853,,,,,
97,,DTH-97,1,,22,1,1862,,,,,
101,,DTH-101,1,,14,4,1879,,,,,
102,,DTH-102,1,,22,9,1844,,,,,
103,,DTH-103,1,,31,12,1861,,,,,
104,,DTH-104,1,,11,10,1861,,,,,
106,,DTH-106,1,,10,10,1872,,,,,
107,,DTH-107,1,,22,7,1848,,,,,
108,,DTH-108,1,,9,11,1845,,,,,
109,,DTH-109,1,,12,4,1874,,,,,
110,,DTH-110,1,,28,8,1876,,,,,
111,,DTH-111,1,,28,8,1885,,,,,
120,,DTH-120,0,,6,8,1887,,,,,
122,,DTH-122,0,,12,1,1867,,,,,
123,,DTH-123,0,,14,11,1880,,,,,
127,,DTH-127,0,,11,8,1893,,,,,
160,,DTH-160,1,,10,8,1842,,,,,
161,,DTH-161,1,,4,11,1851,,,,,
162,,DTH-162,1,,8,6,1847,,,,,
163,,DTH-163,1,,12,9,1847,,,,,
165,,DTH-165,1,,28,8,1845,,,,,
201,,DTH-201,1,,3,7,1839,,,,,
204,,DTH-204,1,,23,10,1841,,,,,
206,,DTH-206,1,,24,11,1840,,,,,
207,,DTH-207,1,,24,2,1846,,,,,
210,,DTH-210,1,,27,3,1842,,,,,
216,,DTH-216,1,,29,9,1845,,,,,
217,,DTH-217,1,,6,1,1858,,,,,
218,,DTH-218,1,,29,6,1848,,,,,
220,,DTH-220,1,,1,5,1855,,,,,
221,,DTH-221,1,,3,9,1844,,,,,
222,,DTH-222,1,,22,3,1840,,,,,
223,,DTH-223,1,,16,8,1868,,,,,
226,,DTH-226,0,,27,12,1794,,,,,
241,,DTH-241,0,,25,3,1850,,,,,
242,,DTH-242,0,,25,3,1860,,,,,
243,,DTH-243,0,,24,8,1851,,,,,
245,,DTH-245,0,,1,3,1853,,,,,
246,,DTH-246,0,,6,3,1848,,,,,
247,,DTH-247,0,,13,4,1852,,,,,
250,,DTH-250,0,,17,10,1844,,,,,
433,,DTH-433,1,,11,1,1845,,,,,
434,,DTH-434,1,,23,5,1844,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
,,,0,,,,,,,,,
