person_id,funeral_id,linked_death_id,is_old_style,f_time,f_day,f_month,f_year,church_id,place_id,f_admin_division,cemetery_id,f_place_details,date_sort
1,,DTH-7,,,26,6,1997,,UA_SAM,Львівська область / Україна,UA_SAM_CEM_NEW,,1997-06-26
2,,DTH-14,,,18,8,1942,UA_HOROD_DUH,UA_HOROD,Ландгемайнде Городище / Крайсгауптманшафт Дрогобич / Дистрикт Галичина / Польське генерал-губернаторство / Німецька імперія (Третій Рейх),UA_HOROD_CEM,,1942-08-18
3,,DTH-15,,,,,,,UA_SAM,Львівська область / УРСР / СРСР,UA_SAM_CEM_OLD,,--
4,,DTH-28,,,9,4,1916,UA_HOROD_DUH,UA_HOROD,Самбірський повіт / Королівство Галичини та Володимирії / Австро-Угорська імперія,UA_HOROD_CEM,,1916-04-09
5,,DTH-29,,,5,2,1917,UA_HOROD_DUH,UA_HOROD,Самбірський повіт / Королівство Галичини та Володимирії / Австро-Угорська імперія,UA_HOROD_CEM,,1917-02-05
6,,DTH-30,,,28,1,1904,,UA_DRO,Самбірський повіт / Королівство Галичини та Володимирії / Австро-Угорська імперія,UA_DRO_CEM_HOSP,,1904-01-28
7,,DTH-31,,,20,1,1939,UA_HOROD_DUH,UA_HOROD,Самбірський повіт / Львівське воєводство / Польська Республіка,UA_HOROD_CEM,,1939-01-20
8,,DTH-56,,,21,11,1856,,UA_DUB,Самбірський повіт / Самбірський округ / Королівство Галичини та Володимирії / Австрійська імперія,UA_SIL_CEM,,1856-11-21
10,,DTH-58,,,1,3,1890,UA_HOROD_DUH,UA_HOROD,Самбірський повіт / Королівство Галичини та Володимирії / Австро-Угорська імперія,UA_HOROD_CEM,,1890-03-01
11,,DTH-59,,,11,5,1875,UA_HOROD_DUH,UA_HOROD,Самбірський повіт / Королівство Галичини та Володимирії / Австро-Угорська імперія,UA_HOROD_CEM,,1875-05-11
12,,DTH-60,,,13,1,1896,UA_HOROD_DUH,UA_HOROD,Самбірський повіт / Королівство Галичини та Володимирії / Австро-Угорська імперія,UA_HOROD_CEM,,1896-01-13
13,,DTH-61,,,18,3,1889,UA_HOROD_DUH,UA_HOROD,Самбірський повіт / Королівство Галичини та Володимирії / Австро-Угорська імперія,UA_HOROD_CEM,,1889-03-18
14,,DTH-62,,,25,11,1905,UA_HOROD_DUH,UA_HOROD,Самбірський повіт / Королівство Галичини та Володимирії / Австро-Угорська імперія,UA_HOROD_CEM,,1905-11-25
15,,DTH-63,,,10,12,1892,UA_HOROD_DUH,UA_HOROD,Самбірський повіт / Королівство Галичини та Володимирії / Австро-Угорська імперія,UA_HOROD_CEM,,1892-12-10
24,,DTH-120,,,6,8,1887,UA_HOROD_DUH,UA_HOROD,Самбірський повіт / Королівство Галичини та Володимирії / Австро-Угорська імперія,UA_HOROD_CEM,,1887-08-06
26,,DTH-122,,,12,1,1867,UA_STU_YUR,UA_STU,Самбірський повіт / Королівство Галичини та Володимирії / Австрійська імперія,UA_STU_CEM,,1867-01-12
27,,DTH-123,,,14,11,1880,UA_STU_YUR,UA_STU,Самбірський повіт / Королівство Галичини та Володимирії / Австро-Угорська імперія,UA_STU_CEM,,1880-11-14
31,,DTH-127,,,11,8,1893,UA_HOROD_DUH,UA_HOROD,Самбірський повіт / Королівство Галичини та Володимирії / Австро-Угорська імперія,UA_HOROD_CEM,,1893-08-11
34,,DTH-226,,,27,12,1794,UA_NAH_TRI,UA_NAH,Самбірський округ / Королівство Галичини та Володимирії / Габсбурзька монархія,UA_NAH_CEM,,1794-12-27
49,,DTH-241,,,25,3,1850,UA_HOROD_DUH,UA_HOROD,Самбірський округ / Королівство Галичини та Володимирії / Австрійська імперія,UA_HOROD_CEM,,1850-03-25
50,,DTH-242,,,25,3,1860,UA_STU_YUR,UA_STU,Самбірський повіт / Самбірський округ / Королівство Галичини та Володимирії / Австрійська імперія,UA_STU_CEM,,1860-03-25
51,,DTH-243,,,24,8,1851,UA_STU_YUR,UA_STU,Самбірський округ / Королівство Галичини та Володимирії / Австрійська імперія,UA_STU_CEM,,1851-08-24
53,,DTH-245,,,1,3,1853,UA_STU_YUR,UA_STU,Самбірський округ / Королівство Галичини та Володимирії / Австрійська імперія,UA_STU_CEM,,1853-03-01
54,,DTH-246,,,6,3,1848,UA_STU_YUR,UA_STU,Самбірський округ / Королівство Галичини та Володимирії / Австрійська імперія,UA_STU_CEM,,1848-03-06
55,,DTH-247,,,13,4,1852,UA_STU_YUR,UA_STU,Самбірський округ / Королівство Галичини та Володимирії / Австрійська імперія,UA_STU_CEM,,1852-04-13
58,,DTH-250,,,17,10,1844,UA_HORD_DYM,UA_HORD,Самбірський округ / Королівство Галичини та Володимирії / Австрійська імперія,UA_HORD_CEM,,1844-10-17
