person_id,spouse_id,marriage_id,union_status,m_number,is_old_style,m_day,m_month,m_year,church_id,place_id,m_admin_division,m_civil_place_details,m_civil_place_address,date_sort
7754,7755,M_7754,,1,,,,,,,,,,
7755,7754,M_7755,,1,,,,,,,,,,
7758,7759,M_7758,,1,,,,,,,,,,
7759,7758,M_7759_1,,1,,,,1664,,,,,,1664-00-00
7759,,M_7759_2,,2,,,,1671,,,,,,1671-00-00
7776,7777,M_7776,,1,,,,,,,,,,
7777,7776,M_7777,,1,,,,,,,,,,
7780,7781,M_7780,,1,,,,,,,,,,
7781,7780,M_7781,,1,,,,,,,,,,
7792,7793,M_7792_1,,1,,,,,,,,,,
7792,,M_7792_2,,2,,,,,,,,,,
7792,,M_7792_3,,3,,,,,,,,,,
7793,7792,M_7793,,1,,,,,,,,,,
7816,7817,M_7816,,1,,,,1606,,,,,,1606-00-00
7817,7816,M_7817,,1,,,,,,,,,,
7818,7819,M_7818,,1,,,,,,,,,,
7819,7818,M_7819,,1,,,,,,,,,,
7888,7889,M_7888,,1,,,,,,,,,,
7889,7888,M_7889,,1,,,,,,,,,,
7896,7897,M_7896,,1,,,,,,,,,,
7897,7896,M_7897,,1,,,,,,,,,,
7900,7901,M_7900,,1,,,,,,,,,,
7901,7900,M_7901,,1,,,,,,,,,,
7904,,M_7904_1,,1,,,,,,,,,,
7904,7905,M_7904_2,,2,,,,,,,,,,
7905,7904,M_7905,,1,,,,,,,,,,
8032,8033,M_8032,,1,,,,,,,,,,
8033,8032,M_8033,,1,,,,,,,,,,
8034,8035,M_8034,,1,,,,,,,,,,
8035,8034,M_8035,,1,,,,,,,,,,
8064,8065,M_8064,,1,,,,,,,,,,
8065,8064,M_8065,,1,,,,,,,,,,
8104,8105,M_8104,,1,,,,,,,,,,
8105,8104,M_8105,,1,,,,,,,,,,
8108,8109,M_8108,,1,,,,,,,,,,
8109,8108,M_8109,,1,,,,,,,,,,
8110,8111,M_8110,,1,,,,,,,,,,
8111,8110,M_8111,,1,,,,,,,,,,
8144,8145,M_8144,,1,,,,,,,,,,
8145,8144,M_8145,,1,,,,,,,,,,
8146,8147,M_8146_8147,,,,,,,,,,,,
8147,8146,M_8147_8146,,,,,,,,,,,,
8176,8177,M_8176_8177,,,,,,,,,,,,
8177,8176,M_8177_8176,,,,,,,,,,,,
14656,14657,M_14656_14657,,,,,,,,,,,,
14657,14656,M_14657_14656,,,,,,,,,,,,
14660,14661,M_14660_14661,,,,,,,,,,,,
