church_id,place_id,church_name,confession,admin_division,status,church_map_url,church_address
PL_TYR_MYK,PL_TYR,Костел Святого Єпископа Миколая,rc,Сяноцький деканат / Перемишльська дієцезія / Римо-католицька церква,,,
RU_BAB_MYK,RU_BAB,Храм Святого Миколая Чудотворця,o,Тверська єпархія / Відомство православного сповідання,,,
RU_KOZ_S_VVE,RU_KOZ_S,Храм Введення Пресвятої Богородиці,o,Тверська єпархія / Відомство православного сповідання,,,
RU_KOZ_S_VVE_SOB,RU_KOZ_S,Собор Введення Пресвятої Богородиці,o,Тверська єпархія / Відомство православного сповідання,,,
RU_KRE_PET,RU_NAZ,Храм Святих Петра і Павла,o,Тверська єпархія / Відомство православного сповідання,,,
RU_LEL_TRI,RU_LEL,Храм Святої Живоначальної Трійці,o,Рязанська єпархія / Відомство православного сповідання,,,
RU_MAT_PRE,RU_MAT,Храм Преображення Господнього,o,Тверська єпархія / Відомство православного сповідання,,,
RU_OVS_MYK,RU_OVS,Храм Святого Миколая Чудотворця,o,Тверська єпархія / Відомство православного сповідання,,,
RU_POD_MYK,RU_POD,Храм Святого Миколая Чудотворця,o,Тверська єпархія / Відомство православного сповідання,,,
RU_POG_NOV_POK,RU_POG_NOV,Храм Покрови Пресвятої Богородиці,o,Тверська єпархія / Відомство православного сповідання,,,
RU_OSE_TRI,RU_OSE,Храм Святої Живоначальної Трійці,o,Тверська єпархія / Відомство православного сповідання,,,
RU_OSE_VOS,RU_OSE,Храм Воскресіння Христового,o,Тверська єпархія / Відомство православного сповідання,,,
RU_TRE_MYH,RU_TRE,Храм Архистратига Михаїла,o,Тверська єпархія / Відомство православного сповідання,,,
RU_SPA_PRE,RU_SPA,Храм Преображення Господнього,o,Тверська єпархія / Відомство православного сповідання,,,
RU_TOL_RIZ,RU_TOL,Храм Різдва Пресвятої Богородиці,o,Тверська єпархія / Відомство православного сповідання,,,
RU_YASH_MYK,RU_YASH,Храм Святого Миколая Чудотворця,o,Тверська єпархія / Відомство православного сповідання,,,
UA_HORD_DYM,UA_HORD,Храм Святого великомученика Димитрія,gc,Перемишльська єпархія / Греко-католицька церква,,,
UA_HOROD_DUH,UA_HOROD,Храм Зішестя Святого Духа,gc,Перемишльська єпархія / Греко-католицька церква,,,
UA_KUL_FLO,UA_KUL,Храм Святих мучеників Флора і Лавра,gc,Перемишльська єпархія / Греко-католицька церква,,,
UA_LOPU_RIZ,UA_LOPU,Храм Різдва Пресвятої Богородиці,gc,Перемишльська єпархія / Греко-католицька церква,,,
UA_LVI_TRI,UA_LVI,Храм Святої Трійці,o,Львівська єпархія / Православна церква,,,
UA_SAM_POK,UA_SAM,Каплиця Покрови Пресвятої Богородиці,gc,Перемишльська єпархія / Греко-католицька церква,,,
UA_SAM_RIZ,UA_SAM,Храм Різдва Пресвятої Богородиці,o,Львівська єпархія / Православна церква,,,
UA_STU_YUR,UA_STU,Храм Святого Юрія Переможця,gc,Перемишльська єпархія / Греко-католицька церква,,,
UA_NAH_TRI,UA_NAH,Храм Пресвятої Трійці,gc,Перемишльська єпархія / Греко-католицька церква,,,
