region_id,region_level,region_name,begin_date,end_date,places_id,flag_url
REG_RUS_MOSCOW,1,Московська область,1991-12-25,9999-12-31,,
REG_RUS_RYAZAN,1,Рязанська область,1991-12-25,9999-12-31,,
REG_RUS_TVER,1,Тверська область,1991-12-25,9999-12-31,,
REG_RUS_TYUMEN,1,Тюменська область,1991-12-25,9999-12-31,,
REG_UKR_LVIV,1,Львівська область,1991-08-24,9999-12-31,,
REG_USSR_RSFSR,1,Російська Радянська Федеративна Соціалістична Республіка,1917-11-07,1991-12-25,,
REG_USSR_UKRSSR,1,Українська Радянська Соціалістична Республіка,1919-03-10,1991-08-24,,
REG_ZUNR_LVIV,1,Львівська військова область,1918-11-01,1919-07-17,,
REG_AH_GAL_DROH,2,Дрогобицький повіт,1850-01-01,1918-10-31,,
REG_AH_GAL_SAMBIR,2,Самбірський повіт,1850-01-01,1918-10-31,,
REG_POL_II_DROH,2,Дрогобицький повіт,1920-12-23,1939-09-17,,
REG_POL_II_SAMBIR,2,Самбірський повіт,1920-12-23,1939-09-17,,
REG_RI_MOSCOW_KOLOM,2,Коломенський повіт,1727-01-01,1929-10-01,,
REG_RI_NOVG_NOVG,2,Новгородський повіт,1727-01-01,1927-08-01,,
REG_RI_RYAZAN_YEGOR,2,Єгор'євський повіт,1778-09-04,1922-05-04,,
REG_RI_TVER_NOVOTOR,2,Новоторзький повіт,1775-01-01,1929-01-01,,
REG_RI_TVER_VYSH,2,Вишньоволоцький повіт,1770-01-01,1929-01-01,,
REG_UKR_LVIV,2,Львівська область,1959-05-22,1991-08-24,,
REG_USSR_MOSCOW,2,Московська область,1929-01-14,1991-12-25,,
REG_USSR_RUS_KALIN,2,Калінінська область,1935-01-29,1990-07-17,,
REG_USSR_RUS_TYUMEN,2,Тюменська область,1944-08-14,9999-12-31,,
REG_USSR_UKR_DROHOB,2,Дрогобицька область,1939-12-04,1959-05-21,,
REG_USSR_KALIN_KOZL,3,Козловський район,1937-07-09,1956-07-03,,
REG_USSR_KALIN_NOVOTOR,3,Новоторзький район,1929-07-12,1990-07-17,,
REG_USSR_KALIN_SPIR,3,Спіровський район,1956-07-04,9999-12-31,,
REG_USSR_KALIN_VYSH,3,Вишньоволоцький район,1929-07-12,1990-07-17,,
REG_USSR_MOSCOW_YEGOR,3,Єгор'євський район,1929-07-12,1991-12-25,,
REG_USSR_TYUM_KHMAO,3,Ханти-Мансійський автономний округ,1977-10-07,9999-12-31,,
REG_USSR_UKR_DROH_R,3,Дрогобицький район,1940-01-17,1991-08-24,,
REG_USSR_UKR_SAMBIR_R,3,Самбірський район,1940-01-17,1991-08-24,,
REG_RUS_KHMAO_NEFT,4,Нефтеюганський район,1980-07-23,9999-12-31,,
