person_id,parents_bio,parents_step,parents_adopted,spouses
944,1888;1889,,,945
945,1890;1891,,,944
946,,,,
948,1896;,,,949
949,1898;,,,948
950,,,,
960,1920;1921,,,961
961,,,,960
962,1652;,,,963
963,1926;,,,962
964,1928;,,,965
965,1930;,,,964
978,,,,
980,1960;1961,,,981
981,1962;,,,980
982,1964;1965,,,983
983,1966;1967,,,982
1 000,2000;2001,,,1001
1 001,2002;2003,,,1000
1 002,,,,
1 008,,,,1009
1 009,,,,1008
1 184,2368;2369,,,1185
1 185,,,,1184
1 186,2372;2373,,,
1 188,2376;2377,,,
1 190,,,,
1 200,2400;2401,,,1201
1 201,2402;2403,,,1200
1 202,2404;2405,,,1203
1 203,,,,1202
1 212,2424;2425,,,1213
1 213,2426;,,,1212
1 408,2816;2817,,,
1 412,2824;2825,,,1413
1 413,,,,1412
1 414,,,,
1 416,2832;2833,,,
1 418,,,,
1 472,2944;2945,,,
1 474,2948;2949,,,1475
1 475,2950;,,,1474
1 476,2952;2953,,,1477
1 477,2954;,,,1476
1 478,,,,
1 480,2960;2961,,,1481
1 481,,,,1480
1 482,2964;2965,,,1483
1 483,2966;,,,1482
1 484,2968;,,,1485
1 485,2970;2971,,,1484
1 486,2972;2973,,,1487
1 487,2974;2975,,,1486
1 488,2976;2977,,,1489
1 489,2950;,,,1488
1 504,3008;3009,,,1505
1 505,3010;,,,1504
1 506,3012;3013,,,1507
1 507,3014;,,,1506
1 512,,,,
1 514,3028;3029,,,1515
1 515,3030;3031,,,1514
1 520,3040;3041,,,1521
1 521,,,,1520
1 522,,,,
1 536,,,,
1 538,3076;,,,1539
1 539,3078;3079,,,1538
1 540,3080;,,,1541
1 541,3082;3083,,,1540
1 542,3084;3085,,,1543
1 543,3086;,,,1542
1 546,,,,
1 552,3104;3105,,,1553
1 553,3106;,,,1552
1 554,,,,
1 570,,,,
1 576,738;739,,,1577
1 577,1538;1539,,,1576
1 578,3156;3157,,,
1 580,3160;3161,,,1581
1 581,3162;,,,1580
1 582,,,,
1 584,738;739,,,1585
1 585,3170;,,,1584
1 586,3172;3173,,,1587
1 587,3174;,,,1586
1 592,3184;3185,,,1593
1 593,3186;3187,,,1592
1 594,,,,
1 596,816;817,,,1597
1 597,1962;,,,1596
1 598,,,,
1 604,3208;3209,,,1605
1 605,3210;3211,,,1604
1 606,,,,
1 609,3218;,,,816
1 610,3220;3221,,,1611
1 611,3222;,,,1610
1 614,1484;1485,,,1615
1 615,3230;3231,,,1614
1 632,3264;3265,,,1633
1 633,3266;,,,1632
1 634,,,,
1 636,3272;,,,1637
1 637,3274;3275,,,1636
1 638,3276;3277,,,
1 648,3296;3297,,,1649
1 649,3298;3299,,,1648
1 652,3304;3305,,,
1 672,3344;3345,,,1673
1 673,3346;,,,1672
1 674,3348;,,,1675
